Plot,Group
2292,2
3791,2
3841,2
3865,2
5487,2
5940,2
1916,2
2058,2
3882,2
4382,2
4765,2
5281,2
5338,2
5430,2
5494,2
5548,2
5641,2
5967,2
6029,2
6266,2
1836,2
2106,2
3276,2
3642,2
4482,2
4495,2
4872,2
5104,2
5396,2
5553,2
5833,2
6348,2
6539,2
6580,2
6581,2
6596,2
6600,2
3376,2
3539,2
3585,2
5165,2
5556,2
5602,2
5936,2
549,2
3480,2
5005,2
332,1
2144,1
2275,1
2341,1
3122,1
4703,1
247,1
503,1
1038,1
1250,1
1605,1
1658,1
1727,1
2491,1
2558,1
2908,1
4172,1
5182,1
5734,1
6577,1
663,1
1375,1
1603,1
1620,1
1785,1
1989,1
2697,1
3160,1
3277,1
3649,1
4385,1
4979,1
5473,1
5724,1
5908,1
6129,1
6428,1
38,1
50,1
2099,1
3701,1
3863,1
3984,1
4296,1
4046,1
4262,1
6261,1
