Plot,Group
85,1
86,1
257,1
314,1
384,1
385,1
493,2
662,2
719,1
753,1
774,2
800,1
915,2
1017,1
1045,2
1068,1
1097,2
1131,2
1138,1
1192,1
1258,2
1318,2
1384,2
1427,2
1435,2
1476,1
1482,1
1612,2
1635,2
1888,1
2012,1
2025,1
2027,2
2266,1
2310,1
2379,1
2386,2
2392,2
2534,1
2569,2
2619,2
2704,2
2740,1
2779,1
2864,2
2905,2
2978,1
3111,1
3224,1
3240,2
3400,2
3457,1
3466,2
3471,2
3490,2
3574,1
3844,2
4092,2
4292,1
4308,1
4321,2
4444,1
4461,2
4526,1
4608,1
4622,1
4623,1
4812,2
4833,2
5060,2
5114,2
5341,2
5349,2
5419,2
5501,2
5636,2
5692,1
5784,1
5920,1
6030,1
6226,1
6583,2
6591,2
